seller_id,total_items_sold,total_orders,product_revenue,freight_revenue,total_revenue,avg_item_price
4869f7a5dfa277a7dca6462dcf3b52b2,1156,1132,229472.63,20168.07,249640.7,198.50573529411764
7c67e1448b00f6e969d365cea6b010ab,1364,982,187923.89,51612.55,239536.44,137.7741129032258
53243585a1d6dc2643021fd1853d8905,410,358,222776.05,13080.63,235856.68,543.3562195121951
4a3ca9315b744ce9f8e9374361493884,1987,1806,200472.92,35067.04,235539.96,100.89225968797182
fa1c13f2614d7b5c4749cbc52fecda94,586,585,194042.03,10042.7,204084.73,331.12974402730373
da8622b14eb17ae2831f4ac5b9dab84a,1551,1314,160236.57,24955.75,185192.32,103.31177949709864
7e93a43ef30c4f03f38b393420bc753a,340,336,176431.87,6322.18,182754.05,518.9172647058823
1025f0e2d44d7041d6cf58b6550e0bfa,1428,915,138968.55,33892.14,172860.69,97.31691176470588
7a67c85e85bb2ce8582c35f2203ad736,1171,1160,141745.53,20902.85,162648.38,121.04656703672075
955fee9216a65b617aa5c0531780ce60,1499,1287,135171.7,25430.98,160602.68,90.17458305537025
6560211a19b47992c3666cc44a7e94c0,2033,1854,123304.83,27960.94,151265.77,60.65166256763404
1f50f920176fa81dab994f9023523100,1931,1404,106939.21,35165.77,142104.98,55.3802226825479
46dc3b2cc0980fb8ec44634e21d2718e,542,521,128111.19,11798.5,139909.69,236.36750922509225
a1043bafd471dff536d0c462352beb48,770,718,101901.16,31844.09,133745.25,132.33916883116882
cc419e0650a3c5ba77189a1882b7556a,1775,1706,104288.42,25668.99,129957.41,58.75403943661972
620c87c171fb2a6dd6e8bb4dec959fc6,798,740,114774.5,14135.21,128909.71,143.82769423558898
5dceca129747e92ff8ef7a997dc4f8ca,346,325,112155.53,13661.39,125816.92,324.14893063583816
7d13fca15225358621be4086e1eb0964,578,565,113628.97,8632.05,122261.02,196.58991349480968
3d871de0142ce09b7081e2b9d1733cb1,1147,1080,94914.2,22433.51,117347.71,82.74995640802092
edb1ef5e36e0c8cd84eb3c9b003e486d,175,166,79284.55,3905.1,83189.65,453.0545714285714
ccc4bbb5f32a6ab2b7066a4130f114e3,192,187,74004.62,5256.98,79261.6,385.44072916666664
cca3071e3e9bb7d12640c9fbe2301306,830,712,64009.89,14371.4,78381.29,77.12034939759036
8581055ce74af1daba164fdbd55a40de,435,387,64925.3,9659.0,74584.3,149.2535632183908
f7ba60f8c3f99e7ee4042fdef03b70c4,230,219,68395.0,4341.01,72736.01,297.3695652173913
fe2032dab1a61af8794248c8196565c9,306,294,65959.61,4721.34,70680.95,215.55428104575162
de722cd6dad950a92b7d4f82673f8833,379,339,55426.1,9686.65,65112.75,146.2430079155673
7ddcbb64b5bc1ef36ca8c151f6ec77df,343,334,55578.57,7946.72,63525.29,162.0366472303207
04308b1ee57b6625f47df1d56f00eedf,94,94,60130.6,3054.39,63184.99,639.6872340425532
f8db351d8c4c4c22c6835c19a46f01b0,724,667,50525.6,12554.2,63079.8,69.78674033149171
218d46b86c1881d022bce9c68a7d4b15,427,388,55093.28,7644.26,62737.54,129.024074941452
522620dcb18a6b31cd7bdf73665113a9,180,174,57168.49,4661.32,61829.81,317.6027222222222
25c5c91f63607446a97b143d2d535d31,269,158,54679.22,7000.11,61679.33,203.26847583643124
17e34d8224d27a541263c4c64b11a56b,268,255,56363.24,5239.96,61603.2,210.31059701492538
37be5a7c751166fbc5f8ccba4119e043,281,272,55350.55,6083.33,61433.88,196.9770462633452
ceaec5548eefc6e23e6607c5435102e7,211,203,52917.18,6331.84,59249.02,250.7923222748815
b2ba3715d723d245138f291a6fe42594,363,337,51676.88,6496.14,58173.02,142.36055096418733
17f51e7198701186712e53a39c564617,61,56,48019.0,9793.43,57812.43,787.1967213114754
f5a590cf36251cf1162ea35bef76fe84,122,117,53201.78,4239.16,57440.94,436.08016393442625
77530e9772f57a62c906e1c21538ab82,389,320,46610.4,8453.59,55063.99,119.82107969151672
8160255418d5aaa7dbdc9f4c64ebda44,431,385,47017.69,7853.81,54871.5,109.08976798143851
ea8482cd71df3c1969d7b9473ff13abc,1203,1146,37177.52,17544.77,54722.29,30.904006650041563
e882b2a25a10b9c057cc49695f222c19,58,57,51057.54,2856.22,53913.76,880.3024137931035
4e922959ae960d389249c378d1c939f5,454,420,46030.37,7274.38,53304.75,101.38848017621146
e9779976487b77c6d4ac45f75ec7afe9,750,657,43162.95,10139.71,53302.66,57.5506
966cb4760537b1404caedd472cc610a5,75,75,51286.05,1649.82,52935.87,683.814
2bf6a2c1e71bbd29a4ad64e6d3c3629f,31,30,50628.9,1000.59,51629.49,1633.1903225806452
4d6d651bd7684af3fffabd5f08d12e5a,395,369,43587.4,7898.91,51486.31,110.34784810126582
c826c40d7b19f62a09e2d7c5e7295ee2,373,354,45643.74,5573.48,51217.22,122.36927613941019
d91fb3b7d041e83b64a00a3edfb37e4f,536,535,40889.74,9290.77,50180.51,76.28682835820895
391fc6631aebcf3004804e51b40bcf1e,613,526,39951.95,10190.88,50142.83,65.17446982055465
17a053fcb14bd219540cbde0df490be0,149,125,40703.14,8828.43,49531.57,273.1754362416107
c3cfdc648177fdbbbb35635a37472c53,307,278,43048.18,6079.63,49127.81,140.22208469055374
06a2c3af7b3aee5d69171b0e14f0ee87,405,392,36408.95,12141.29,48550.24,89.89864197530864
850f4f8af5ea87287ac68de36e29107f,192,187,45355.36,3114.41,48469.77,236.22583333333333
b33e7c55446eabf8fe1a42d037ac7d6d,155,152,44985.17,2725.07,47710.24,290.22690322580644
eeb6de78f79159600292e314a77cbd18,84,83,43739.84,3055.44,46795.28,520.712380952381
712e6ed8aa4aa1fa65dab41fed5737e4,87,79,39815.0,6889.13,46704.13,457.64367816091954
2eb70248d66e0e3ef83659f71b244378,212,202,42628.61,3231.49,45860.1,201.07834905660377
ba90964cff9b9e0e6f32b23b82465f7b,38,38,44212.5,1311.0,45523.5,1163.4868421052631
634964b17796e64304cadf1ad3050fb7,326,268,39465.1,5955.43,45420.53,121.05858895705522
7142540dd4c91e2237acb7e911c4eba2,331,319,37373.56,6915.6,44289.16,112.91105740181268
834f3294fba9f932f56edc879193f925,66,66,39907.5,4299.92,44207.42,604.6590909090909
b839e41795b7f3ad94cc2014a52f6796,36,33,42829.0,920.93,43749.93,1189.6944444444443
c3867b4666c7d76867627c2f7fb22e21,259,245,37153.4,5043.78,42197.18,143.44942084942085
1835b56ce799e6a4dc4eddc053f04066,558,423,33344.21,8741.95,42086.16,59.75664874551971
dbc22125167c298ef99da25668e1011f,429,406,33776.78,8012.38,41789.16,78.73375291375291
7299e27ed73d2ad986de7f7c77d919fa,361,338,34725.43,6855.65,41581.08,96.1923268698061
7178f9f4dd81dcef02f62acdf8151e01,216,203,37070.4,4408.52,41478.92,171.62222222222223
c70c1b0d8ca86052f45a432a38b73958,338,261,36537.37,3938.91,40476.28,108.09872781065089
